N-Z;N;Z;A;Element;mass_exc;mass_exc_unc;bind_ene;bind_ene_unc;beta_ene;beta_ene_unc;A2;atomic_mass;atomic_mass_unc;delta;delta_I4;bind_ene_total;bind_ene_teo;bind_ene_teo_total;Diff_bind_ene;Diff_bind_ene_total;atomic_mass_teo;atomic_mass_calc;Diff_atomic_mass;mass_excess_calc;Diff_mass_excess;bind_ene_calc;Diff_bind_ene_calcs;B_e;M_N_teo;M_N_exp;Diff_nuclear_mass;M_N_ws4;WS4_diff;bind_ene_n+2_exp;bind_ene_n-2_exp;delta_2n_exp;bind_ene_p+2_exp;bind_ene_p-2_exp;delta_2p_exp;bind_ene_n+2_teo;bind_ene_n-2_teo;delta_2n_teo;bind_ene_p+2_teo;bind_ene_p-2_teo;delta_2p_teo
0;8;8;16;O;-4737.00135;0.00016;7.976206;0.0;-15417.254;8.321;15;14899.168657662229;1.5835399763240004e-07;-1;1;127.619296;8.062837943988749;129.00540710381998;-0.0866319439887481;-1.386111103819971;14897.7825675543;14899.168678658118;-2.099589073623065e-05;-4737.001857773829;0.0005077738296677;7.976207312243218;-1.3122432180878718e-06;0.0020792999647602;14893.696655248745;14895.08274535667;1.386090107927885;14895.453647214445;-0.3709018577737879;139.807746;;;132.142626;;;146.75385707882486;;;137.6671154214365;;
1;9;8;17;O;-808.76348;0.00066;7.750728;0.0;-2760.465;0.248;16;15834.590999669565;6.52045872604e-07;0;0;131.76237600000002;8.030178453410343;136.51303370797584;-0.2794504534103428;-4.750657707975819;15829.840362668496;15834.59102037647;-2.070690788968932e-05;-808.7635704367493;9.04367493603786e-05;7.75072921805344;-1.2180534394445883e-06;0.0020792999647602;15825.75445036294;15830.505087364008;4.750637001066934;15830.299050934442;0.2060364295666659;143.763405;;;143.779517;;;150.34424133562885;;;150.5183661627398;;
-1;8;9;17;F;1951.702;0.248;7.542328;0.015;-14548.746;0.432;17;15837.351465082893;0.0002477774315895;0;0;128.21957600000002;7.772913748368582;132.1395337222659;-0.2305857483685818;-3.9199577222658775;15833.431516049764;15837.351473772029;-8.689135938766412e-06;1951.7018428924632;0.0001571075367792;7.542328511125614;-5.111256138334852e-07;0.002755375958857;15828.835280869513;15832.755229902645;3.9199490331302513;15832.60812805975;0.14710184289469908;147.801342;;;131.819815;;;155.22848917065346;;;136.21387231188783;;
2;10;8;18;O;-782.8156;0.00071;7.767097;0.0;-1655.929;0.463;17;16766.111051275617;7.079355188272e-07;-1;1;139.807746;8.152992059934714;146.75385707882486;-0.3858950599347146;-6.946111078824856;16759.164961016002;16766.111072094827;-2.081921047647484e-05;-782.8156843822135;8.438221345841157e-05;7.767098156622726;-1.156622726483647e-06;0.0020792999647602;16755.079048710446;16762.02513897006;6.946090259614721;16761.35265465444;0.6724843156189309;151.3714;127.619296;-0.6247960000000035;160.6448;;;157.03677663732955;129.00540710381998;-7.465530416500201;165.55090402646732;;
0;9;9;18;F;873.113;0.463;7.631638;0.026;-4444.501;0.589;18;16767.766979670767;0.0004629525695488;1;-1;137.369484;7.914925544805537;142.46865980649966;-0.2832875448055372;-5.099175806499659;16762.667811683885;16767.766987490384;-7.819617167115211e-06;873.1127107683044;0.0002892316956604;7.631638434423116;-4.344231161468315e-07;0.002755375958857;16758.071576503633;16763.170744490515;5.099167986882094;16762.223231779746;0.9475127107689332;154.40268;;;145.96992;;;161.30922900947877;;;151.5612816640763;;
-2;8;10;18;Ne;5317.614;0.363;7.341257;0.02;-19720.374;93.882;18;16772.211480829446;0.0003632827004508;-1;1;132.142626;7.648173078968695;137.6671154214365;-0.3069160789686949;-5.524489421436499;16766.687009464502;16772.21149888594;-1.805649299058132e-05;5317.613869446695;0.0001305533050981;7.341258003138541;-1.0031385411224392e-06;0.0035444813290531;16761.580564438933;16767.105035803877;5.524471364944475;16766.59772193443;0.5073138694460795;160.6448;;;134.5605;127.619296;-2.1054560000000038;165.55090402646732;;;137.54088194652462;129.00540710381998;-8.787941792528414
3;11;8;19;O;3332.858;2.637;7.566495;0.139;4820.302;2.637;19;17701.720828638285;0.0026361283135276;0;0;143.763405;7.912854807138361;150.34424133562885;-0.3463598071383611;-6.580836335628845;17695.139998477553;17701.72083481318;-6.174894224386662e-06;3332.857958285639;4.171436103206361e-05;7.566495324994513;-3.249945130789911e-07;0.0020792999647602;17691.054086171996;17697.63491633273;6.580830160732148;17697.167858374443;0.46705795828529517;155.176854;131.76237600000002;-0.5875800000000027;167.405973;;;157.8370535318213;136.51303370797584;-6.338395431460555;173.90154241663865;;
1;10;9;19;F;-1487.4442;0.00086;7.779018;0.0;-3239.494;0.16;18;17696.900526318117;8.662895164596e-07;0;0;147.801342;8.169920482665972;155.22848917065346;-0.3909024826659726;-7.427147170653455;17689.473404038083;17696.90055120874;-2.4890621716622263e-05;-1487.4443618821824;0.0001618821825104;7.779019310032661;-1.3100326610171464e-06;0.002755375958857;17684.87716885783;17692.304291137865;7.427122280034382;17691.50713549975;0.7971556381162372;162.504153;128.21957600000002;-4.878954999999991;163.076487;;;170.22508439409614;132.1395337222659;-8.092360224944883;168.86642759944874;;
-1;9;10;19;Ne;1752.05;0.16;7.567343;0.008;-11177.340;10.536;19;17700.14002073417;0.0001592854917361;0;0;143.779517;7.922019271723147;150.5183661627398;-0.3546762717231466;-6.738849162739797;17693.401180441553;17700.140029604296;-8.870127203408629e-06;1752.0500541692493;-5.416924932433176e-05;7.567343466848749;-4.668487489922768e-07;0.0035444813290531;17688.294735415984;17695.0335757086;6.73884029261535;17694.225325654428;0.8082500541713671;167.405973;;;149.20565100000002;131.76237600000002;-6.591006999999962;173.90154241663865;;;155.11973994252648;136.51303370797584;-9.403958674977275
-3;8;11;19;Na;12929.39;10.535;6.9378850000000005;0.554;-18898.998;51.099;19;17711.317362206028;0.0105342668189694;0;0;131.819815;7.169151174309887;136.21387231188783;-0.2312661743098862;-4.394057311887849;17706.92332768796;17711.31738499985;-2.2793821699451652e-05;12929.391526027925;-0.0015260279251378;6.93788619967477;-1.1996747693032717e-06;0.0044513845075466;17701.306790614875;17705.700825132943;4.394034518067201;17705.863133606912;-0.16230847396946047;163.076487;;;132.34199999999998;128.21957600000002;-3.0780540000000087;168.86642759944874;;;132.66147944587183;132.1395337222659;-7.626731455637923
